wsj.com/, general news, yes, yes, roger, hashing, post, accounts.google.com, requires_authentication
wsj.com/, general news, yes, yes, nadal, hashing, post, accounts.google.com, requires_authentication
wsj.com/, general news, yes, yes, rogernadal, hashing, post, accounts.google.com, requires_authentication
wsj.com/, general news, yes, yes, rogernadal322, hashing, post, accounts.google.com, requires_authentication
wsj.com/, general news, yes, yes, b47b636ac3fcb606572fe960f38b703f, hashing, get, api.rlcdn.com, requires_authentication
wsj.com/, general news, yes, yes, eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039, hashing, get, api.rlcdn.com, requires_authentication
wsj.com/, general news, yes, yes, b4607c2cd5ad9662de56c4605e5c1d165e949332, hashing, get, api.rlcdn.com, requires_authentication
wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication
wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication
wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication
"wsj.com/, general news, yes, yes, roger, hashing, post, accounts.google.com, requires_authentication"
"wsj.com/, general news, yes, yes, roger, hashing, post, accounts.google.com, requires_authentication"
"wsj.com/, general news, yes, yes, nadal, hashing, post, accounts.google.com, requires_authentication"
"wsj.com/, general news, yes, yes, nadal, hashing, post, accounts.google.com, requires_authentication"
"wsj.com/, general news, yes, yes, rogernadal, hashing, post, accounts.google.com, requires_authentication"
"wsj.com/, general news, yes, yes, rogernadal, hashing, post, accounts.google.com, requires_authentication"
"wsj.com/, general news, yes, yes, rogernadal322, hashing, post, accounts.google.com, requires_authentication"
"wsj.com/, general news, yes, yes, rogernadal322, hashing, post, accounts.google.com, requires_authentication"
"wsj.com/, general news, yes, yes, b47b636ac3fcb606572fe960f38b703f, hashing, get, api.rlcdn.com, requires_authentication"
"wsj.com/, general news, yes, yes, eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039, hashing, get, api.rlcdn.com, requires_authentication"
"wsj.com/, general news, yes, yes, b4607c2cd5ad9662de56c4605e5c1d165e949332, hashing, get, api.rlcdn.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
